"musicshow","id_artist","data"
"theshow","67","2015-04-14"
"showchampion","61","2015-04-15"
"countdown","61","2015-04-16"
"musicbank","61","2015-04-17"
"musiccore","61","2015-04-18"
"inkigayo","61","2015-04-19"
"theshow","60","2015-04-21"
"showchampion","61","2015-04-22"
"musicbank","61","2015-04-24"
"musiccore","61","2015-04-25"
"inkigayo","60","2015-04-26"
"theshow","61","2015-04-28"
"showchampion","60","2015-04-29"
"countdown","61","2015-04-30"
"musicbank","61","2015-05-01"
"musiccore","61","2015-05-02"
"inkigayo","60","2015-05-03"
"theshow","40","2015-05-05"
"showchampion","60","2015-05-06"
"countdown","40","2015-05-07"
"musicbank","40","2015-05-08"
"musiccore","28","2015-05-09"
"inkigayo","28","2015-05-10"
"theshow","40","2015-05-12"
"showchampion","40","2015-05-13"
"countdown","28","2015-05-14"
"musicbank","28","2015-05-15"
"musiccore","28","2015-05-16"
"inkigayo","28","2015-05-17"
"showchampion","28","2015-05-20"
"countdown","28","2015-05-21"
"musicbank","28","2015-05-22"
"musiccore","260","2015-05-23"
"inkigayo","28","2015-05-24"
"theshow","212","2015-05-26"
"showchampion","172","2015-05-27"
"countdown","172","2015-05-28"
"musicbank","172","2015-05-29"
"inkigayo","172","2015-05-31"
"theshow","117","2015-06-02"
"countdown","172","2015-06-04"
"musicbank","172","2015-06-05"
"musiccore","172","2015-06-06"
"inkigayo","172","2015-06-07"
"theshow","172","2015-06-09"
"showchampion","61","2015-06-10"
"countdown","28","2015-06-11"
"musicbank","61","2015-06-12"
"musiccore","61","2015-06-13"
"inkigayo","28","2015-06-14"
"theshow","61","2015-06-16"
"showchampion","61","2015-06-17"
"countdown","61","2015-06-18"
"musicbank","61","2015-06-19"
"musiccore","61","2015-06-20"
"inkigayo","61","2015-06-21"
"theshow","5","2015-06-23"
"showchampion","61","2015-06-24"
"countdown","28","2015-06-25"
"musicbank","24","2015-06-26"
"musiccore","61","2015-06-27"
"inkigayo","28","2015-06-28"
"theshow","202","2015-06-30"
"showchampion","16","2015-07-01"
"countdown","174","2015-07-02"
"musicbank","174","2015-07-03"
"musiccore","16","2015-07-04"
"inkigayo","174","2015-07-05"
"theshow","16","2015-07-07"
"showchampion","174","2015-07-08"
"countdown","28","2015-07-09"
"musicbank","174","2015-07-10"
"musiccore","28","2015-07-11"
"inkigayo","28","2015-07-12"
"theshow","78","2015-07-14"
"showchampion","78","2015-07-15"
"countdown","78","2015-07-16"
"musicbank","78","2015-07-17"
"musiccore","78","2015-07-18"
"inkigayo","78","2015-07-19"
"theshow","96","2015-07-21"
"showchampion","96","2015-07-22"
"countdown","96","2015-07-23"
"musicbank","96","2015-07-24"
"musiccore","96","2015-07-25"
"inkigayo","78","2015-07-26"
"theshow","96","2015-07-28"
"showchampion","18","2015-07-29"
"countdown","18","2015-07-30"
"musicbank","18","2015-07-31"
"inkigayo","26","2015-08-02"
"showchampion","26","2015-08-05"
"countdown","26","2015-08-06"
"musicbank","26","2015-08-07"
"musiccore","26","2015-08-08"
"inkigayo","26","2015-08-09"
"showchampion","172","2015-08-12"
"musicbank","172","2015-08-14"
"musiccore","28","2015-08-15"
"inkigayo","28","2015-08-16"
"showchampion","23","2015-08-19"
"countdown","74","2015-08-20"
"musicbank","28","2015-08-21"
"musiccore","28","2015-08-22"
"inkigayo","28","2015-08-23"
"theshow","78","2015-08-25"
"showchampion","78","2015-08-26"
"countdown","78","2015-08-27"
"musicbank","78","2015-08-28"
"musiccore","78","2015-08-29"
"inkigayo","78","2015-08-30"
"theshow","269","2015-09-01"
"countdown","78","2015-09-03"
"musicbank","78","2015-09-04"
"inkigayo","78","2015-09-06"
"countdown","78","2015-09-10"
"musicbank","78","2015-09-11"
"inkigayo","78","2015-09-13"
"theshow","165","2015-09-15"
"showchampion","165","2015-09-16"
"countdown","165","2015-09-17"
"musicbank","78","2015-09-18"
"musiccore","78","2015-09-19"
"inkigayo","165","2015-09-20"
"theshow","46","2015-09-22"
"showchampion","46","2015-09-23"
"countdown","165","2015-09-24"
"musicbank","46","2015-09-25"
"musiccore","95","2015-09-26"
"inkigayo","95","2015-09-27"
"theshow","46","2015-09-29"
"countdown","181","2015-10-01"
"musicbank","46","2015-10-02"
"inkigayo","95","2015-10-04"
"theshow","80","2015-10-06"
"showchampion","13","2015-10-07"
"countdown","95","2015-10-08"
"musicbank","132","2015-10-09"
"inkigayo","132","2015-10-11"
"theshow","80","2015-10-13"
"showchampion","200","2015-10-14"
"countdown","200","2015-10-15"
"musicbank","200","2015-10-16"
"inkigayo","200","2015-10-18"
"theshow","80","2015-10-20"
"showchampion","38","2015-10-21"
"countdown","200","2015-10-22"
"musicbank","200","2015-10-23"
"musiccore","200","2015-10-24"
"inkigayo","200","2015-10-25"
"countdown","200","2015-10-29"
"musicbank","200","2015-10-30"
"inkigayo","98","2015-11-01"
"countdown","65","2015-11-05"
"musicbank","65","2015-11-06"
"inkigayo","98","2015-11-08"
"theshow","65","2015-11-10"
"musicbank","65","2015-11-13"
"musiccore","98","2015-11-14"
"inkigayo","225","2015-11-15"
"theshow","215","2015-11-17"
"showchampion","215","2015-11-18"
"countdown","65","2015-11-19"
"musicbank","215","2015-11-20"
"inkigayo","200","2015-11-22"
"showchampion","60","2015-11-25"
"countdown","384","2015-11-26"
"musicbank","22","2015-11-27"
"inkigayo","95","2015-11-29"
"theshow","22","2015-12-01"
"showchampion","384","2015-12-02"
"inkigayo","60","2015-12-06"
"theshow","40","2015-12-08"
"showchampion","40","2015-12-09"
"musicbank","40","2015-12-11"
"inkigayo","158","2015-12-13"
"showchampion","40","2015-12-16"
"countdown","158","2015-12-17"
"musicbank","61","2015-12-18"
"inkigayo","158","2015-12-20"
"countdown","158","2015-12-24"
"musicbank","61","2015-12-25"
"inkigayo","158","2015-12-27"
"musicbank","61","2016-01-01"
"inkigayo","206","2016-01-03"
"countdown","158","2016-01-07"
"musicbank","40","2016-01-08"
"inkigayo","71","2016-01-10"
"countdown","95","2016-01-14"
"musicbank","192","2016-01-15"
"inkigayo","192","2016-01-17"
"countdown","95","2016-01-21"
"musicbank","192","2016-01-22"
"inkigayo","192","2016-01-24"
"theshow","202","2016-01-26"
"showchampion","49","2016-01-27"
"countdown","95","2016-01-28"
"musicbank","202","2016-01-29"
"inkigayo","192","2016-01-31"
"theshow","76","2016-02-02"
"showchampion","76","2016-02-03"
"countdown","76","2016-02-04"
"musicbank","76","2016-02-05"
"inkigayo","76","2016-02-07"
"countdown","76","2016-02-11"
"musicbank","76","2016-02-12"
"inkigayo","200","2016-02-14"
"theshow","76","2016-02-16"
"showchampion","76","2016-02-17"
"countdown","76","2016-02-18"
"musicbank","76","2016-02-19"
"inkigayo","76","2016-02-21"
"theshow","326","2016-02-23"
"showchampion","76","2016-02-24"
"countdown","217","2016-02-25"
"musicbank","76","2016-02-26"
"inkigayo","76","2016-02-28"
"theshow","198","2016-03-01"
"showchampion","198","2016-03-02"
"countdown","198","2016-03-03"
"musicbank","198","2016-03-04"
"inkigayo","138","2016-03-06"
"theshow","22","2016-03-08"
"showchampion","138","2016-03-09"
"countdown","138","2016-03-10"
"musicbank","138","2016-03-11"
"inkigayo","138","2016-03-13"
"theshow","138","2016-03-15"
"showchampion","138","2016-03-16"
"countdown","128","2016-03-17"
"musicbank","138","2016-03-18"
"inkigayo","128","2016-03-20"
"theshow","165","2016-03-22"
"showchampion","165","2016-03-23"
"countdown","165","2016-03-24"
"musicbank","165","2016-03-25"
"inkigayo","165","2016-03-27"
"theshow","80","2016-03-29"
"countdown","80","2016-03-31"
"musicbank","80","2016-04-01"
"inkigayo","80","2016-04-03"
"theshow","80","2016-04-05"
"showchampion","38","2016-04-06"
"countdown","38","2016-04-07"
"musicbank","38","2016-04-08"
"inkigayo","32","2016-04-10"
"theshow","46","2016-04-12"
"showchampion","46","2016-04-13"
"countdown","46","2016-04-14"
"musicbank","46","2016-04-15"
"inkigayo","425","2016-04-17"
"theshow","46","2016-04-19"
"showchampion","32","2016-04-20"
"countdown","32","2016-04-21"
"musicbank","46","2016-04-22"
"inkigayo","32","2016-04-24"
"theshow","215","2016-04-26"
"showchampion","215","2016-04-27"
"countdown","255","2016-04-28"
"musicbank","215","2016-04-29"
"inkigayo","255","2016-05-01"
"theshow","215","2016-05-03"
"showchampion","171","2016-05-04"
"countdown","208","2016-05-05"
"musicbank","208","2016-05-06"
"inkigayo","208","2016-05-08"
"theshow","215","2016-05-10"
"showchampion","171","2016-05-11"
"countdown","40","2016-05-12"
"musicbank","40","2016-05-13"
"inkigayo","40","2016-05-15"
"theshow","204","2016-05-17"
"showchampion","204","2016-05-18"
"countdown","208","2016-05-19"
"musicbank","208","2016-05-20"
"inkigayo","208","2016-05-22"
"theshow","16","2016-05-24"
"showchampion","16","2016-05-25"
"countdown","208","2016-05-26"
"inkigayo","208","2016-05-29"
"theshow","109","2016-05-31"
"showchampion","109","2016-06-01"
"countdown","24","2016-06-02"
"musicbank","208","2016-06-03"
"inkigayo","24","2016-06-05"
"showchampion","60","2016-06-08"
"countdown","24","2016-06-09"
"musicbank","208","2016-06-10"
"inkigayo","60","2016-06-12"
"theshow","60","2016-06-14"
"countdown","61","2016-06-16"
"musicbank","61","2016-06-17"
"inkigayo","61","2016-06-19"
"showchampion","61","2016-06-22"
"countdown","61","2016-06-23"
"musicbank","61","2016-06-24"
"inkigayo","61","2016-06-26"
"showchampion","174","2016-06-29"
"countdown","61","2016-06-30"
"musicbank","61","2016-07-01"
"inkigayo","174","2016-07-03"
"theshow","60","2016-07-05"
"showchampion","174","2016-07-06"
"countdown","174","2016-07-07"
"musicbank","200","2016-07-08"
"inkigayo","200","2016-07-10"
"theshow","219","2016-07-12"
