"id","id_parent","nome","vtype","vlink","id_artist","publishedon","views","likes","dislikes","lastupdate","recentviews","recentlikes","promoted","dead","promotedviews"
"2402","0","Spotlight (Japanese)","main","_53QwBl9m88","143","2018-01-09","9540709","273900","1127","2020-05-03 14:17:02","2052","49","n","n","0"
"2403","0","Candy Pop (jp)","main","wQ_POfToaVY","208","2018-01-11","114925840","1124517","71356","2020-05-03 01:30:02","56349","719","n","n","0"
"2404","0","Timeless","main","PmH948yZwhE","150","2018-01-12","5169946","229107","574","2020-05-03 17:40:30","6326","240","n","n","0"
"2405","0","The Summer Night","main","PaqDKrurKmg","156","2018-01-13","245364","15872","184","2020-05-01 13:39:01","29","1","n","n","0"
"2406","0","Heroine","main","F4qfN5UeFvQ","268","2018-01-18","60252798","781107","16539","2020-05-03 02:31:01","22450","233","n","n","0"
"2407","0","My Flower","main","uexk7jWXYmU","274","2018-01-17","24844534","556583","3988","2020-05-03 05:48:02","6338","138","n","n","0"
"2408","0","Wild Love","main","eOLasFesC3Q","213","2018-01-20","589408","22833","75","2020-04-30 23:08:01","234","6","n","n","0"
"2409","0","Neverland","main","IVzGsh0zRec","284","2018-01-21","12997217","954548","42095","2020-05-03 17:41:02","3330","272","n","n","0"
"2410","0","In Love with Someone Else","main","eQ3gXtX3U7I","281","2018-01-22","8209214","155704","3694","2020-05-03 17:41:02","2840","51","n","n","0"
"2411","0","Shinin'","main","J41qe-TM1DY","109","2018-01-22","21338331","1335881","4519","2020-05-03 09:16:30","5415","259","n","n","0"
"2412","0","Love Scenario","main","vecSVX1QYbQ","95","2018-01-25","388258358","4445026","81327","2020-05-04 00:12:02","196032","3004","n","n","0"
"2413","0","Watashi kono mama de ii no kana?","main","DkDsioBrZjQ","33","2018-01-25","996856","24270","291","2020-04-30 23:08:01","319","4","n","n","0"
"2414","0","Bad Boy","main","J_CFBjAyPWE","165","2018-01-29","260589204","2820241","72933","2020-05-04 00:44:01","136093","1496","n","n","0"
"2415","0","Holiday","main","lpzJNwur6Zk","281","2018-01-29","7366240","167686","4279","2020-05-03 17:41:02","2210","48","n","n","0"
"2416","0","The Boots","main","y3KSD5sI0OM","81","2018-02-01","8255675","175262","3354","2020-05-03 17:42:02","2725","68","n","n","0"
"2417","0","Just the two of Us","main","YIcIXJIqFHw","53","2018-02-01","559273","10911","106","2020-04-30 23:09:01","166","3","n","n","0"
"2418","0","Walkin' in Time","main","Xi349ysBaW8","283","2018-02-01","2847495","42703","229","2020-05-03 14:33:02","661","38","n","n","0"
"2419","0","Monster","main","dfeEwt5_jsQ","84","2018-02-02","4761273","296276","1136","2020-05-03 17:42:02","1157","41","n","n","0"
"2420","0","Thanks","main","gZItyr1SNjU","171","2018-02-05","44964898","902001","6622","2020-05-03 02:55:01","27321","470","n","n","0"
"2421","0","f ～また逢えたら～ (jp)","main","unS_PcMn3RA","54","2018-02-05","2433916","95935","261","2020-05-03 17:42:02","1419","51","n","n","0"
"2422","0","In Time","main","XUJ_xpOVfyw","143","2018-02-06","1930402","94346","260","2020-05-03 17:43:01","956","43","n","n","0"
"2423","0","To do List","main","F4oenLX1WcA","88","2018-02-06","998575","38542","232","2020-04-30 23:09:01","354","6","n","n","0"
"2424","0","Mi Amor","main","gnPZ8k3wXqs","232","2018-02-06","427952","26627","229","2020-04-30 23:11:01","89","4","n","n","0"
"2425","0","Good Bye","main","ePRk5THh2Q8","285","2018-02-07","10382247","120869","3072","2020-05-03 14:43:02","7506","82","n","n","0"
"2426","0","Cheer Up","main","RYV1s0ylNFM","285","2014-11-05","14251177","120929","2495","2020-05-03 14:45:01","18340","263","n","n","0"
"2427","0","Boogie Man","main","hxOI7wahw7w","285","2013-03-21","4113024","20417","697","2020-05-03 17:43:02","2120","14","n","n","0"
