"id","name","members","issolo","id_parentgroup","formation","disband","kname","social","alias","id_debut","debut_actual_date","miak","miak_level","sales","gaon_obs","releases","views","releasesm"
"62","EXO-CBX","male","n","61","2016","0","첸백시CBX","","EXO-CBX (첸백시)","1888","","0","none","656826","","a:2:{s:30:""HEY MAMA! - THE 1ST MINI ALBUM"";a:19:{s:7:""2016-10"";i:165223;s:7:""2016-11"";i:107224;s:7:""2016-12"";i:2744;i:2016;i:275191;s:7:""2017-01"";i:2151;s:7:""2017-02"";i:776;s:7:""2017-03"";i:1556;s:7:""2017-04"";i:1243;s:7:""2017-05"";i:1943;s:7:""2017-06"";i:746;s:7:""2017-07"";i:718;s:7:""2017-08"";i:1258;s:7:""2017-10"";i:814;s:7:""2017-11"";i:777;s:7:""2017-12"";i:991;s:7:""2018-01"";i:1045;s:7:""2018-03"";i:1856;s:7:""2018-04"";i:1272;s:7:""2018-08"";i:922;}s:34:""BLOOMING DAYS - THE 2ND MINI ALBUM"";a:5:{s:7:""2018-04"";i:352575;s:7:""2018-05"";i:7649;s:7:""2018-07"";i:999;s:7:""2018-08"";i:1134;i:2018;i:363567;}}","62666","a:20:{s:7:""2016-10"";i:165223;s:7:""2016-11"";i:107224;s:7:""2016-12"";i:2744;s:7:""2017-01"";i:2151;s:7:""2017-02"";i:776;s:7:""2017-03"";i:1556;s:7:""2017-04"";i:1243;s:7:""2017-05"";i:1943;s:7:""2017-06"";i:746;s:7:""2017-07"";i:718;s:7:""2017-08"";i:1258;s:7:""2017-10"";i:814;s:7:""2017-11"";i:777;s:7:""2017-12"";i:991;s:7:""2018-01"";i:1045;s:7:""2018-03"";i:1856;s:7:""2018-04"";i:353847;s:7:""2018-08"";i:2056;s:7:""2018-05"";i:7649;s:7:""2018-07"";i:999;}"
"63","EXO-12","male","n","61","2016","0","","","","0","","0","none","0","","","11047","a:0:{}"
"64","EXO-M","male","n","61","2016","0","엑소M","","","3340","","0","none","450198","","a:2:{s:31:""`MAMA` EXO-M THE 1ST MINI ALBUM"";a:3:{i:2012;i:87553;i:2013;i:52409;i:2014;i:37518;}s:22:""上&#30270; (OVERDOSE)"";a:1:{i:2014;i:272718;}}","26071","a:0:{}"
"65","F(x)","female","n","0","2009","0","에프엑스","K=F(x)_(band),W=fx.smtown.com,F=fx.smtown,I=fx.official","","224","","54179","none","549573","","a:8:{s:21:""NU 예삐오 (NU ABO)"";a:8:{s:7:""2011-01"";i:1784;s:7:""2011-02"";i:814;s:7:""2011-03"";i:775;s:7:""2011-04"";i:3392;s:7:""2011-05"";i:2127;s:7:""2011-06"";i:1031;s:7:""2011-07"";i:884;s:7:""2012-06"";i:958;}s:38:""1집 `피노키오` F(X) THE 1ST ALBUM"";a:7:{s:7:""2011-04"";i:46284;s:7:""2011-05"";i:8703;s:7:""2011-06"";i:3432;s:7:""2011-08"";i:1791;i:2011;i:61637;s:7:""2012-04"";i:865;s:7:""2012-06"";i:732;}s:7:""CHU~♡"";a:1:{s:7:""2011-04"";i:1575;}s:37:""`HOT SUMMER` F(X) 1ST ALBUM REPACKAGE"";a:21:{s:7:""2011-06"";i:26616;s:7:""2011-07"";i:6078;s:7:""2011-08"";i:4285;s:7:""2011-09"";i:4707;s:7:""2011-10"";i:1777;s:7:""2011-11"";i:1297;s:7:""2011-12"";i:1272;i:2011;i:46032;s:7:""2012-01"";i:1293;s:7:""2012-02"";i:1580;s:7:""2012-03"";i:1427;s:7:""2012-04"";i:935;s:7:""2012-05"";i:2943;s:7:""2012-06"";i:1820;s:7:""2012-07"";i:1741;s:7:""2012-08"";i:1172;s:7:""2012-09"";i:892;s:7:""2012-11"";i:638;i:2012;i:15309;s:7:""2014-02"";i:450;s:7:""2014-06"";i:313;}s:35:""`ELECTRIC SHOCK` THE 2ND MINI ALBUM"";a:14:{s:7:""2012-06"";i:56765;s:7:""2012-07"";i:10160;s:7:""2012-08"";i:3217;s:7:""2012-09"";i:1553;s:7:""2012-10"";i:1208;s:7:""2012-12"";i:1175;i:2012;i:74694;s:7:""2013-01"";i:1134;s:7:""2013-02"";i:692;s:7:""2013-03"";i:907;s:7:""2013-04"";i:2125;s:7:""2013-07"";i:847;s:7:""2013-08"";i:939;s:7:""2014-07"";i:545;}s:9:""PINK TAPE"";a:31:{s:7:""2013-07"";i:53990;s:7:""2013-08"";i:18161;s:7:""2013-09"";i:3726;s:7:""2013-10"";i:2828;s:7:""2013-11"";i:1497;s:7:""2013-12"";i:1623;i:2013;i:81825;s:7:""2014-01"";i:1857;s:7:""2014-02"";i:1456;s:7:""2014-03"";i:1447;s:7:""2014-04"";i:585;s:7:""2014-05"";i:942;s:7:""2014-06"";i:964;s:7:""2014-07"";i:2292;s:7:""2014-08"";i:606;s:7:""2014-09"";i:918;s:7:""2014-11"";i:473;s:7:""2014-12"";i:718;s:7:""2015-01"";i:514;s:7:""2015-02"";i:566;s:7:""2015-04"";i:613;s:7:""2015-05"";i:371;s:7:""2015-06"";i:486;s:7:""2015-07"";i:643;s:7:""2015-08"";i:604;s:7:""2015-09"";i:399;s:7:""2015-10"";i:489;s:7:""2015-11"";i:784;s:7:""2015-12"";i:514;s:7:""2016-02"";i:700;s:7:""2016-03"";i:581;}s:9:""RED LIGHT"";a:18:{s:7:""2014-07"";i:82602;s:7:""2014-08"";i:1976;s:7:""2014-12"";i:584;i:2014;i:86143;s:7:""2015-01"";i:635;s:7:""2015-02"";i:529;s:7:""2015-03"";i:669;s:7:""2015-04"";i:518;s:7:""2015-05"";i:465;s:7:""2015-06"";i:313;s:7:""2015-08"";i:599;s:7:""2015-09"";i:469;s:7:""2015-10"";i:473;s:7:""2015-11"";i:467;s:7:""2015-12"";i:671;s:7:""2016-01"";i:422;s:7:""2016-02"";i:661;s:7:""2016-03"";i:599;}s:23:""4 WALLS - THE 4TH ALBUM"";a:10:{s:7:""2015-10"";i:65933;s:7:""2015-11"";i:7820;s:7:""2015-12"";i:1872;i:2015;i:75625;s:7:""2016-01"";i:560;s:7:""2016-02"";i:1044;s:7:""2016-03"";i:686;s:7:""2016-07"";i:551;s:7:""2016-08"";i:728;s:7:""2016-11"";i:659;}}","80640","a:63:{s:7:""2011-01"";i:1784;s:7:""2011-02"";i:814;s:7:""2011-03"";i:775;s:7:""2011-04"";i:51251;s:7:""2011-05"";i:10830;s:7:""2011-06"";i:31079;s:7:""2011-07"";i:6962;s:7:""2012-06"";i:60275;s:7:""2011-08"";i:6076;s:7:""2012-04"";i:1800;s:7:""2011-09"";i:4707;s:7:""2011-10"";i:1777;s:7:""2011-11"";i:1297;s:7:""2011-12"";i:1272;s:7:""2012-01"";i:1293;s:7:""2012-02"";i:1580;s:7:""2012-03"";i:1427;s:7:""2012-05"";i:2943;s:7:""2012-07"";i:11901;s:7:""2012-08"";i:4389;s:7:""2012-09"";i:2445;s:7:""2012-11"";i:638;s:7:""2014-02"";i:1906;s:7:""2014-06"";i:1277;s:7:""2012-10"";i:1208;s:7:""2012-12"";i:1175;s:7:""2013-01"";i:1134;s:7:""2013-02"";i:692;s:7:""2013-03"";i:907;s:7:""2013-04"";i:2125;s:7:""2013-07"";i:54837;s:7:""2013-08"";i:19100;s:7:""2014-07"";i:85439;s:7:""2013-09"";i:3726;s:7:""2013-10"";i:2828;s:7:""2013-11"";i:1497;s:7:""2013-12"";i:1623;s:7:""2014-01"";i:1857;s:7:""2014-03"";i:1447;s:7:""2014-04"";i:585;s:7:""2014-05"";i:942;s:7:""2014-08"";i:2582;s:7:""2014-09"";i:918;s:7:""2014-11"";i:473;s:7:""2014-12"";i:1302;s:7:""2015-01"";i:1149;s:7:""2015-02"";i:1095;s:7:""2015-04"";i:1131;s:7:""2015-05"";i:836;s:7:""2015-06"";i:799;s:7:""2015-07"";i:643;s:7:""2015-08"";i:1203;s:7:""2015-09"";i:868;s:7:""2015-10"";i:66895;s:7:""2015-11"";i:9071;s:7:""2015-12"";i:3057;s:7:""2016-02"";i:2405;s:7:""2016-03"";i:1866;s:7:""2015-03"";i:669;s:7:""2016-01"";i:982;s:7:""2016-07"";i:551;s:7:""2016-08"";i:728;s:7:""2016-11"";i:659;}"
"66","Fiestar","female","n","0","2012","2018","피에스타","K=Fiestar","","1292","","0","none","10883","","a:6:{s:14:""VISTA (SINGLE)"";a:1:{s:7:""2012-09"";i:1920;}s:13:""WE DON'T STOP"";a:1:{s:7:""2012-11"";i:1408;}s:7:""CURIOUS"";a:1:{s:7:""2013-11"";i:1070;}s:11:""BLACK LABEL"";a:3:{s:7:""2015-03"";i:1940;s:7:""2015-04"";i:621;s:7:""2015-05"";i:460;}s:15:""FORESIGHT DREAM"";a:1:{s:7:""2016-01"";i:616;}s:16:""A DELICATE SENSE"";a:1:{s:7:""2016-03"";i:2848;}}","11231","a:8:{s:7:""2012-09"";i:1920;s:7:""2012-11"";i:1408;s:7:""2013-11"";i:1070;s:7:""2015-03"";i:1940;s:7:""2015-04"";i:621;s:7:""2015-05"";i:460;s:7:""2016-01"";i:616;s:7:""2016-03"";i:2848;}"
"67","FTISLAND","male","n","0","2007","0","FT아일랜드","K=F.T._Island,F=FTISLAND,V=FE913,VS=10,T=ft_fanclub,I=officialftisland","F.T ISLAND","1794","2007-06-07","171000","none","654449","","a:16:{s:7:""JUMP UP"";a:1:{s:7:""2011-01"";i:3000;}s:34:""2ND MINI ALBUM `BEAUTIFUL JOURNEY`"";a:7:{s:7:""2011-01"";i:882;s:7:""2011-02"";i:1774;s:7:""2011-04"";i:953;s:7:""2011-05"";i:1175;s:7:""2011-06"";i:858;s:7:""2011-07"";i:1402;s:7:""2011-08"";i:5610;}s:11:""RETURN (EP)"";a:8:{s:7:""2011-05"";i:33995;s:7:""2011-06"";i:6234;s:7:""2011-07"";i:4856;s:7:""2011-08"";i:4190;s:7:""2011-09"";i:1781;s:7:""2011-10"";i:1055;i:2011;i:52932;s:7:""2012-04"";i:3221;}s:25:""2집 COLORFUL SENSIBILITY"";a:1:{s:7:""2011-05"";i:2050;}s:33:""MEMORY IN FTISLAND (REMAKE ALBUM)"";a:4:{s:7:""2011-10"";i:36939;s:7:""2011-11"";i:1388;i:2011;i:36143;s:7:""2012-08"";i:1441;}s:8:""GROWN-UP"";a:7:{s:7:""2012-01"";i:35582;s:7:""2012-02"";i:14417;s:7:""2012-03"";i:3548;s:7:""2012-04"";i:2568;s:7:""2012-05"";i:774;s:7:""2012-11"";i:1997;i:2012;i:60891;}s:22:""4집 FIVE TREASURE BOX"";a:9:{s:7:""2012-09"";i:46982;s:7:""2012-10"";i:2704;s:7:""2012-11"";i:1429;s:7:""2012-12"";i:2324;i:2012;i:53439;s:7:""2013-01"";i:796;s:7:""2013-02"";i:561;s:7:""2013-07"";i:681;s:7:""2013-12"";i:699;}s:32:""2집 COLORFUL SENSIBILITY PART 2"";a:1:{s:7:""2012-10"";i:2707;}s:9:""THANKS TO"";a:3:{s:7:""2013-09"";i:34465;s:7:""2013-10"";i:731;i:2013;i:34249;}s:8:""THE MOOD"";a:3:{s:7:""2013-11"";i:33181;s:7:""2013-12"";i:3212;i:2013;i:36393;}s:22:""JAPAN BEST 'ALL ABOUT'"";a:2:{s:7:""2014-10"";i:16555;i:2014;i:16069;}s:6:""I WILL"";a:3:{s:7:""2015-03"";i:31018;s:7:""2015-04"";i:16642;i:2015;i:47767;}s:39:""FTISLAND 6TH ALBUM 'WHERE'S THE TRUTH?'"";a:3:{s:7:""2016-07"";i:38463;s:7:""2016-08"";i:2977;i:2016;i:41709;}s:47:""FTISLAND 10TH ANNIVERSARY ALBUM `OVER 10 YEARS`"";a:1:{s:7:""2017-06"";i:29512;}s:24:""6TH MINI ALBUM [WHAT IF]"";a:2:{s:7:""2018-07"";i:20000;s:7:""2018-08"";i:3903;}s:7:""ZAPPING"";a:1:{s:7:""2019-09"";i:22632;}}","18466","a:36:{s:7:""2011-01"";i:3882;s:7:""2011-02"";i:1774;s:7:""2011-04"";i:953;s:7:""2011-05"";i:37220;s:7:""2011-06"";i:7092;s:7:""2011-07"";i:6258;s:7:""2011-08"";i:9800;s:7:""2011-09"";i:1781;s:7:""2011-10"";i:37994;s:7:""2012-04"";i:5789;s:7:""2011-11"";i:1388;s:7:""2012-08"";i:1441;s:7:""2012-01"";i:35582;s:7:""2012-02"";i:14417;s:7:""2012-03"";i:3548;s:7:""2012-05"";i:774;s:7:""2012-11"";i:3426;s:7:""2012-09"";i:46982;s:7:""2012-10"";i:5411;s:7:""2012-12"";i:2324;s:7:""2013-01"";i:796;s:7:""2013-02"";i:561;s:7:""2013-07"";i:681;s:7:""2013-12"";i:3911;s:7:""2013-09"";i:34465;s:7:""2013-10"";i:731;s:7:""2013-11"";i:33181;s:7:""2014-10"";i:16555;s:7:""2015-03"";i:31018;s:7:""2015-04"";i:16642;s:7:""2016-07"";i:38463;s:7:""2016-08"";i:2977;s:7:""2017-06"";i:29512;s:7:""2018-07"";i:20000;s:7:""2018-08"";i:3903;s:7:""2019-09"";i:22632;}"
"68","G-DRAGON","male","y","28","2009","0","권지용","K=G-Dragon,F=gdragon,T=ibgdrgn,I=xxxibgdrgn","","883","","359792","none","896809","","a:7:{s:41:""콘서트 라이브앨범 `SHINE A LIGHT`"";a:3:{s:7:""2011-02"";i:1922;s:7:""2011-03"";i:976;s:7:""2011-06"";i:889;}s:17:""1집 HEARTBREAKER"";a:25:{s:7:""2011-06"";i:3379;s:7:""2011-09"";i:3263;s:7:""2011-10"";i:5643;s:7:""2011-12"";i:837;s:7:""2012-02"";i:832;s:7:""2012-04"";i:1320;s:7:""2012-05"";i:1370;s:7:""2012-06"";i:1223;s:7:""2012-07"";i:1696;s:7:""2012-08"";i:1247;s:7:""2012-09"";i:3942;s:7:""2012-10"";i:852;s:7:""2012-11"";i:1050;s:7:""2012-12"";i:1910;i:2012;i:16792;s:7:""2013-01"";i:1846;s:7:""2013-02"";i:1557;s:7:""2013-03"";i:2296;s:7:""2013-04"";i:1915;s:7:""2013-05"";i:1021;s:7:""2013-06"";i:879;s:7:""2013-07"";i:724;s:7:""2013-08"";i:1554;s:7:""2013-09"";i:1061;s:7:""2014-02"";i:608;}s:13:""ONE OF A KIND"";a:37:{s:7:""2012-09"";i:171512;s:7:""2012-10"";i:18722;s:7:""2012-11"";i:6399;s:7:""2012-12"";i:7693;i:2012;i:204326;s:7:""2013-01"";i:8035;s:7:""2013-02"";i:5690;s:7:""2013-03"";i:7186;s:7:""2013-04"";i:5695;s:7:""2013-05"";i:2297;s:7:""2013-06"";i:1557;s:7:""2013-07"";i:2433;s:7:""2013-08"";i:5285;s:7:""2013-09"";i:2338;s:7:""2013-10"";i:1312;s:7:""2013-11"";i:1746;s:7:""2013-12"";i:1758;i:2013;i:45332;s:7:""2014-01"";i:954;s:7:""2014-02"";i:820;s:7:""2014-03"";i:680;s:7:""2014-04"";i:616;s:7:""2014-06"";i:510;s:7:""2014-07"";i:593;s:7:""2014-08"";i:636;s:7:""2015-03"";i:458;s:7:""2015-07"";i:421;s:7:""2015-08"";i:489;s:7:""2015-10"";i:603;s:7:""2015-12"";i:642;s:7:""2016-01"";i:590;s:7:""2016-02"";i:549;s:7:""2016-03"";i:952;s:7:""2016-05"";i:490;s:7:""2016-07"";i:559;s:7:""2016-08"";i:695;s:7:""2016-09"";i:530;}s:23:""쿠데타 (COUP D'ETAT)"";a:5:{s:7:""2013-09"";i:198489;i:2013;i:195603;s:7:""2014-02"";i:451;s:7:""2014-07"";i:738;s:7:""2016-08"";i:549;}s:54:""ONE OF A KIND IN SEOUL (2013 G-DRAGON WORLD TOUR LIVE)"";a:2:{s:7:""2013-09"";i:21359;i:2013;i:20031;}s:32:""쿠테타 (LIMITED EDITION) (LP)"";a:1:{s:7:""2013-10"";i:8877;}s:67:""GD 1ST WORLD TOUR COMMEMORAIVE VINYL LP (ONE OF A KIND)(KOREA VER.)"";a:1:{s:7:""2014-02"";i:2161;}}","230217","a:47:{s:7:""2011-02"";i:1922;s:7:""2011-03"";i:976;s:7:""2011-06"";i:4268;s:7:""2011-09"";i:3263;s:7:""2011-10"";i:5643;s:7:""2011-12"";i:837;s:7:""2012-02"";i:832;s:7:""2012-04"";i:1320;s:7:""2012-05"";i:1370;s:7:""2012-06"";i:1223;s:7:""2012-07"";i:1696;s:7:""2012-08"";i:1247;s:7:""2012-09"";i:175454;s:7:""2012-10"";i:19574;s:7:""2012-11"";i:7449;s:7:""2012-12"";i:9603;s:7:""2013-01"";i:9881;s:7:""2013-02"";i:7247;s:7:""2013-03"";i:9482;s:7:""2013-04"";i:7610;s:7:""2013-05"";i:3318;s:7:""2013-06"";i:2436;s:7:""2013-07"";i:3157;s:7:""2013-08"";i:6839;s:7:""2013-09"";i:223247;s:7:""2014-02"";i:4040;s:7:""2013-10"";i:10189;s:7:""2013-11"";i:1746;s:7:""2013-12"";i:1758;s:7:""2014-01"";i:954;s:7:""2014-03"";i:680;s:7:""2014-04"";i:616;s:7:""2014-06"";i:510;s:7:""2014-07"";i:1331;s:7:""2014-08"";i:636;s:7:""2015-03"";i:458;s:7:""2015-07"";i:421;s:7:""2015-08"";i:489;s:7:""2015-10"";i:603;s:7:""2015-12"";i:642;s:7:""2016-01"";i:590;s:7:""2016-02"";i:549;s:7:""2016-03"";i:952;s:7:""2016-05"";i:490;s:7:""2016-07"";i:559;s:7:""2016-08"";i:1244;s:7:""2016-09"";i:530;}"
"69","G.na","female","y","0","2011","2016","최지나","K=G.NA,F=gna.unitedcube,T=ginachoi87,I=missginachoi87","","702","","0","none","26128","","a:4:{s:13:""BLACK & WHITE"";a:5:{s:7:""2011-01"";i:2098;s:7:""2011-02"";i:4047;s:7:""2011-03"";i:1736;s:7:""2011-04"";i:1473;s:7:""2011-05"";i:933;}s:8:""TOP GIRL"";a:3:{s:7:""2011-08"";i:4726;s:7:""2011-09"";i:1825;s:7:""2012-08"";i:801;}s:5:""BLOOM"";a:1:{s:7:""2012-05"";i:5024;}s:16:""BEAUTIFUL KISSES"";a:1:{s:7:""2013-03"";i:3465;}}","10817","a:10:{s:7:""2011-01"";i:2098;s:7:""2011-02"";i:4047;s:7:""2011-03"";i:1736;s:7:""2011-04"";i:1473;s:7:""2011-05"";i:933;s:7:""2011-08"";i:4726;s:7:""2011-09"";i:1825;s:7:""2012-08"";i:801;s:7:""2012-05"";i:5024;s:7:""2013-03"";i:3465;}"
"70","Gain","female","y","37","2010","0","가인","K=Gain_(singer),F=OfficialGain,I=songain87","","3371","","9700","none","33341","","a:4:{s:13:""TALK ABOUT S."";a:1:{s:7:""2012-10"";i:9855;}s:13:""TRUTH OR DARE"";a:1:{s:7:""2014-02"";i:6509;}s:6:""HAWWAH"";a:2:{s:7:""2015-03"";i:4203;s:7:""2015-06"";i:327;}s:9:""END AGAIN"";a:1:{s:7:""2016-09"";i:2747;}}","16991","a:5:{s:7:""2012-10"";i:9855;s:7:""2014-02"";i:6509;s:7:""2015-03"";i:4203;s:7:""2015-06"";i:327;s:7:""2016-09"";i:2747;}"
"71","Gary","male","y","131","2014","0","개리","K=Gary_(rapper)","","1065","","0","none","18947","","a:2:{s:6:""MR.GAE"";a:3:{s:7:""2014-01"";i:10791;s:7:""2014-02"";i:854;s:7:""2015-02"";i:483;}i:2002;a:2:{s:7:""2015-09"";i:5896;s:7:""2015-10"";i:923;}}","11863","a:5:{s:7:""2014-01"";i:10791;s:7:""2014-02"";i:854;s:7:""2015-02"";i:483;s:7:""2015-09"";i:5896;s:7:""2015-10"";i:923;}"
"72","Gary + Jung In","coed","n","0","2014","0","","","","0","","0","none","0","","","671","a:0:{}"
"73","GD + TAEYANG","male","n","28","2014","0","","","GD X TAEYANG","0","","0","none","19985","","a:1:{s:8:""GOOD BOY"";a:5:{s:7:""2014-12"";i:17346;i:2014;i:17346;s:7:""2015-01"";i:1303;s:7:""2015-02"";i:910;s:7:""2015-04"";i:426;}}","134711","a:4:{s:7:""2014-12"";i:17346;s:7:""2015-01"";i:1303;s:7:""2015-02"";i:910;s:7:""2015-04"";i:426;}"
"74","GD + T.O.P.","male","n","28","2010","0","GD+TOP (빅뱅)","","GD+TOP","0","","204249","none","267703","","a:1:{s:8:""GD & TOP"";a:32:{s:7:""2011-01"";i:10088;s:7:""2011-02"";i:7037;s:7:""2011-03"";i:5879;s:7:""2011-04"";i:1612;s:7:""2011-05"";i:2317;s:7:""2011-07"";i:4540;s:7:""2011-08"";i:3281;i:2011;i:34703;s:7:""2012-01"";i:1600;s:7:""2012-02"";i:943;s:7:""2012-03"";i:883;s:7:""2012-04"";i:1312;s:7:""2012-05"";i:915;s:7:""2012-06"";i:2128;s:7:""2012-07"";i:1194;s:7:""2012-09"";i:2466;s:7:""2012-10"";i:1251;s:7:""2012-11"";i:1112;s:7:""2012-12"";i:1732;i:2012;i:16518;s:7:""2013-01"";i:1742;s:7:""2013-02"";i:1414;s:7:""2013-03"";i:1506;s:7:""2013-04"";i:1135;s:7:""2013-05"";i:861;s:7:""2013-06"";i:898;s:7:""2013-07"";i:1069;s:7:""2013-09"";i:1064;s:7:""2013-12"";i:748;s:7:""2014-01"";i:686;s:7:""2014-04"";i:800;s:7:""2015-07"";i:310;}}","26251","a:30:{s:7:""2011-01"";i:10088;s:7:""2011-02"";i:7037;s:7:""2011-03"";i:5879;s:7:""2011-04"";i:1612;s:7:""2011-05"";i:2317;s:7:""2011-07"";i:4540;s:7:""2011-08"";i:3281;s:7:""2012-01"";i:1600;s:7:""2012-02"";i:943;s:7:""2012-03"";i:883;s:7:""2012-04"";i:1312;s:7:""2012-05"";i:915;s:7:""2012-06"";i:2128;s:7:""2012-07"";i:1194;s:7:""2012-09"";i:2466;s:7:""2012-10"";i:1251;s:7:""2012-11"";i:1112;s:7:""2012-12"";i:1732;s:7:""2013-01"";i:1742;s:7:""2013-02"";i:1414;s:7:""2013-03"";i:1506;s:7:""2013-04"";i:1135;s:7:""2013-05"";i:861;s:7:""2013-06"";i:898;s:7:""2013-07"";i:1069;s:7:""2013-09"";i:1064;s:7:""2013-12"";i:748;s:7:""2014-01"";i:686;s:7:""2014-04"";i:800;s:7:""2015-07"";i:310;}"
"75","Geeks + Soyou","coed","n","0","2012","0","","","","0","","0","none","0","","","859","a:0:{}"
