,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
295,Sappy (jp),RedVelvet,female group,"947,698",97.1%,"18,233,422",494 days,1.3534246575342466,"914,736","1,376,534","1,831,177,781"
296,Cookie Jar (jp),RedVelvet,female group,"933,163",97.5%,"33,881,022",692 days,1.895890410958904,"914,736","1,376,534","1,831,177,781"
297,Happiness,RedVelvet,female group,"908,154",95.2%,"93,225,165",2.110 days,5.780821917808219,"914,736","1,376,534","1,831,177,781"
298,Rookie,RedVelvet,female group,"797,049",94.2%,"65,095,506",1.198 days,3.282191780821918,"914,736","1,376,534","1,831,177,781"
299,Zimzalabim - mass performance(dance),RedVelvet,female group,"696,353",98.3%,"12,682,227",323 days,0.8849315068493151,"914,736","1,376,534","1,831,177,781"
300,One of these nights,RedVelvet,female group,"453,878",97.3%,"25,334,022",1.519 days,4.161643835616438,"914,736","1,376,534","1,831,177,781"
301,Be Natural,RedVelvet,female group,"417,278",95.0%,"27,515,881",2.043 days,5.597260273972603,"914,736","1,376,534","1,831,177,781"
302,RBB (Really Bad Boy) English ver.,RedVelvet,female group,"338,665",98.6%,"4,215,544",515 days,1.4109589041095891,"914,736","1,376,534","1,831,177,781"
303,I Just,RedVelvet,female group,"319,597",98.8%,"5,469,239",805 days,2.2054794520547945,"914,736","1,376,534","1,831,177,781"
304,Would U,RedVelvet,female group,"319,110",97.9%,"12,505,492",1.140 days,3.1232876712328768,"914,736","1,376,534","1,831,177,781"
305,Milkshake,RedVelvet,female group,"318,060",99.1%,"3,625,298",287 days,0.7863013698630137,"914,736","1,376,534","1,831,177,781"
306,Power Up(alternate),RedVelvet,female group,"313,189",98.4%,"8,889,063",636 days,1.7424657534246575,"914,736","1,376,534","1,831,177,781"
307,Rookie(dance),RedVelvet,female group,"295,179",97.8%,"19,065,297",1.188 days,3.254794520547945,"914,736","1,376,534","1,831,177,781"
308,BBoom BBoom,Momoland,female group,"2,973,035",92.1%,"425,081,772",861 days,2.3589041095890413,"265,303","58,081","1,433,566,665"
309,BAAM,Momoland,female group,"1,636,876",90.0%,"191,306,060",687 days,1.8821917808219177,"265,303","58,081","1,433,566,665"
310,I'm so hot,Momoland,female group,"915,946",84.0%,"54,631,480",420 days,1.1506849315068493,"265,303","58,081","1,433,566,665"
311,BBoom BBoom(dance),Momoland,female group,"622,832",95.0%,"81,964,006",856 days,2.345205479452055,"265,303","58,081","1,433,566,665"
312,BAAM(dance),Momoland,female group,"601,933",86.1%,"189,712,392",672 days,1.841095890410959,"265,303","58,081","1,433,566,665"
313,Thumbs Up,Momoland,female group,"500,957",88.5%," 46,108,026",135 days,0.3698630136986301,"265,303","58,081","1,433,566,665"
314,BAAM(dance),Momoland,female group,"415,786",93.7%,"59,761,421",681 days,1.8657534246575342,"265,303","58,081","1,433,566,665"
315,BAAM (jp),Momoland,female group,"313,895",94.5%,"24,232,990",587 days,1.6082191780821917,"265,303","58,081","1,433,566,665"
316,Jopping,SuperM,male group,"2,752,525",97.0%,"67,315,287",223 days,0.6109589041095891,"1,086,772","167,640","71,750,651"
317,Intro: Ten x Taemin x Kai,SuperM,male group,"388,295",99.2%,"3,083,818",228 days,0.6246575342465753,"1,086,772","167,640","71,750,651"
318,Dalla dalla,ITZY,female group,"2,697,750",92.9%," 192,507,114",458 days,1.2547945205479452,"675,695","269,641","664,058,275"
319,Wannabe,ITZY,female group,"2,421,486",96.4%," 120,076,026",65 days,0.1780821917808219,"675,695","269,641","664,058,275"
320,Icy,ITZY,female group,"2,419,123",94.5%,"147,274,759",290 days,0.7945205479452054,"675,695","269,641","664,058,275"
321,Dalla dalla(dance),ITZY,female group,"849,595",97.7%,"40,779,923",449 days,1.2301369863013698,"675,695","269,641","664,058,275"
322,Wannabe(dance),ITZY,female group,"689,038",98.4%,"22,802,851",63 days,0.1726027397260274,"675,695","269,641","664,058,275"
323,Icy(dance),ITZY,female group,"680,656",97.9%,"26,437,052",285 days,0.7808219178082192,"675,695","269,641","664,058,275"
324,Wannabe(alternate),ITZY,female group,"540,576",98.5%,"18,027,292",59 days,0.16164383561643836,"675,695","269,641","664,058,275"
325,Wannabe(dance),ITZY,female group,"525,983",98.4%,"18,568,786",60 days,0.1643835616438356,"675,695","269,641","664,058,275"
326,Icy(dance),ITZY,female group,"520,275",98.8%,"8,710,344",284 days,0.7780821917808219,"675,695","269,641","664,058,275"
327,Icy(alternate),ITZY,female group,"477,537",98.4%,"11,597,545",275 days,0.7534246575342466,"675,695","269,641","664,058,275"
328,Dalla dalla(alternate),ITZY,female group,"377,466",98.3%,"11,971,953",441 days,1.2082191780821918,"675,695","269,641","664,058,275"
329,Forever Rain,RM,male soloist,"2,433,563",99.5%,"17,883,443",569 days,1.558904109589041,"940,278",0,"120,124,917"
330,Seoul,RM,male soloist,"1,622,788",99.7%,"18,513,784",568 days,1.5561643835616439,"940,278",0,"120,124,917"
331,Change,RM,male soloist,"1,325,227",99.5%,"17,815,123",1.151 days,3.1534246575342464,"940,278",0,"120,124,917"
332,Do You,RM,male soloist,"1,274,357",98.9%,"29,441,922",1.882 days,5.156164383561644,"940,278",0,"120,124,917"
333,Moonchild,RM,male soloist,"1,253,212",99.6%,"12,103,310",567 days,1.5534246575342465,"940,278",0,"120,124,917"
334,Joke,RM,male soloist,"629,655",99.5%,"12,370,425",1.875 days,5.136986301369863,"940,278",0,"120,124,917"
335,Fantastic,RM,male soloist,"315,173",99.4%,"5,785,857",1.745 days,4.780821917808219,"940,278",0,"120,124,917"
336,Oppa Is Just My Style | 오빤 딱 내 스타일,Psy+Hyuna,coed group,"2,418,725",82.9%,"762,588,381",2.829 days,7.750684931506849,"2,418,725",0,"762,588,381"
337,Hip,Mamamoo,female group,"2,362,380",98.6%,"110,824,536",181 days,0.4958904109589041,"338,731","537,070","904,437,338"
338,Egotistic,Mamamoo,female group,"1,284,645",98.7%,"80,715,520",667 days,1.8273972602739725,"338,731","537,070","904,437,338"
339,Starry Night,Mamamoo,female group,"1,120,527",98.6%,"67,642,174",798 days,2.186301369863014,"338,731","537,070","904,437,338"
340,Gogobebe,Mamamoo,female group,"1,054,312",98.6%,"51,380,229",426 days,1.167123287671233,"338,731","537,070","904,437,338"
341,Gogobebe (Mina Myoung choreo)(dance),Mamamoo,female group,"1,030,407",99.2%,"40,421,432",415 days,1.1369863013698631,"338,731","537,070","904,437,338"
342,Starry Night,Mamamoo,female group,"979,416",98.5%,"70,575,194",798 days,2.186301369863014,"338,731","537,070","904,437,338"
343,Gogobebe,Mamamoo,female group,"857,940",99.2%,"33,742,751",426 days,1.167123287671233,"338,731","537,070","904,437,338"
344,Gleam,Mamamoo,female group,"736,395",99.3%,"14,659,233",294 days,0.8054794520547945,"338,731","537,070","904,437,338"
345,Hip(dance),Mamamoo,female group,"612,038",99.1%,"27,003,480",177 days,0.4849315068493151,"338,731","537,070","904,437,338"
346,Egotistic,Mamamoo,female group,"514,031",99.3%,"16,601,058",667 days,1.8273972602739725,"338,731","537,070","904,437,338"
347,Gogobebe(alternate),Mamamoo,female group,"496,976",99.0%,"24,098,322",421 days,1.1534246575342466,"338,731","537,070","904,437,338"
348,Wind Flower,Mamamoo,female group,"475,196",99.4%,"22,750,682",531 days,1.4547945205479451,"338,731","537,070","904,437,338"
349,Hip(dance),Mamamoo,female group,"463,477",99.6%,"7,650,998",161 days,0.4410958904109589,"338,731","537,070","904,437,338"
350,Yes I Am,Mamamoo,female group,"435,698",97.8%,"34,613,341",1.056 days,2.893150684931507,"338,731","537,070","904,437,338"
351,Wind Flower,Mamamoo,female group,"402,514",99.1%,"12,204,202",531 days,1.4547945205479451,"338,731","537,070","904,437,338"
352,Um Oh Ah Yeh,Mamamoo,female group,"393,769",98.1%,"37,239,509",1.791 days,4.906849315068493,"338,731","537,070","904,437,338"
353,Hip(dance),Mamamoo,female group,"388,424",99.4%,"9,212,895",172 days,0.4712328767123288,"338,731","537,070","904,437,338"
354,Décalcomanie,Mamamoo,female group,"365,930",98.3%,"33,101,313",1.283 days,3.515068493150685,"338,731","537,070","904,437,338"
355,You're the best,Mamamoo,female group,"358,008",98.4%,"37,737,801",1.539 days,4.2164383561643834,"338,731","537,070","904,437,338"
356,1cm taller than You,Mamamoo,female group,"329,975",98.2%,"20,956,889",1.553 days,4.254794520547946,"338,731","537,070","904,437,338"
357,Gogobebe(alternate),Mamamoo,female group,"329,219",99.2%,"8,615,163",424 days,1.1616438356164382,"338,731","537,070","904,437,338"
358,Shine,Pentagon,male group,"2,342,675",98.5%,"185,861,791",772 days,2.115068493150685,"222,495","326,222","397,868,050"
359,Shine(dance),Pentagon,male group,"647,716",99.2%,"31,966,903",757 days,2.073972602739726,"222,495","326,222","397,868,050"
360,Naughty boy,Pentagon,male group,"617,069",98.3%,"24,321,273",611 days,1.673972602739726,"222,495","326,222","397,868,050"
361,Humph!,Pentagon,male group,"586,049",99.2%,"14,825,873",301 days,0.8246575342465754,"222,495","326,222","397,868,050"
362,Dr. BeBe,Pentagon,male group,"396,627",99.3%," 20,348,420",92 days,0.25205479452054796,"222,495","326,222","397,868,050"
363,Shine,Pentagon,male group,"342,758",99.4%,"8,308,892",772 days,2.115068493150685,"222,495","326,222","397,868,050"
364,Sha la la,Pentagon,male group,"334,017",99.2%,"8,793,633",413 days,1.1315068493150684,"222,495","326,222","397,868,050"
365,Gorilla,Pentagon,male group,"314,113",99.1%,"10,715,694",1.312 days,3.5945205479452054,"222,495","326,222","397,868,050"
366,Runaway,Pentagon,male group,"299,469",99.5%,"10,199,200",903 days,2.473972602739726,"222,495","326,222","397,868,050"
367,Humph!,Pentagon,male group,"298,133",99.2%,"5,963,819",301 days,0.8246575342465754,"222,495","326,222","397,868,050"
368,Sha la la,Pentagon,male group,"297,504",99.4%,"4,228,065",413 days,1.1315068493150684,"222,495","326,222","397,868,050"
369,Lil' Touch,Girls'GenerationOh!GG,female group,"2,298,147",98.0%,"127,014,088",616 days,1.6876712328767123,"2,298,147","43,191","127,014,088"
370,Good Boy,GD+TAEYANG,male group,"2,270,767",97.2%,"275,049,301",2.001 days,5.482191780821918,"1,485,415","19,985","348,322,026"
371,Good Boy(dance),GD+TAEYANG,male group,"700,062",98.5%,"73,272,725",1.983 days,5.432876712328767,"1,485,415","19,985","348,322,026"
372,Birthday,Somi,female soloist,"2,227,708",96.9%,"73,739,664",335 days,0.9178082191780822,"1,324,465",0,"81,728,679"
373,Birthday(dance),Somi,female soloist,"421,221",98.7%,"7,989,015",329 days,0.9013698630136986,"1,324,465",0,"81,728,679"
374,Overdose,EXO-K,male group,"2,158,219",97.0%,"212,039,874",2.199 days,6.024657534246575,"934,496","736,274","438,453,518"
375,Mama,EXO-K,male group,"1,068,493",96.9%,"83,605,638",2.958 days,8.104109589041096,"934,496","736,274","438,453,518"
376,History,EXO-K,male group,"742,652",97.4%,"82,981,227",2.988 days,8.186301369863013,"934,496","736,274","438,453,518"
377,What is Love,EXO-K,male group,"475,992",97.4%,"36,139,002",3.027 days,8.293150684931506,"934,496","736,274","438,453,518"
378,Don't wanna cry,Seventeen,male group,"2,119,076",98.7%,"163,737,111",1.087 days,2.978082191780822,"358,344","3,731,554","1,043,265,028"
379,Clap,Seventeen,male group,"1,259,835",98.9%,"73,194,316",919 days,2.5178082191780824,"358,344","3,731,554","1,043,265,028"
380,Home,Seventeen,male group,"1,049,490",99.3%,"43,961,733",478 days,1.3095890410958904,"358,344","3,731,554","1,043,265,028"
381,Hit,Seventeen,male group,"1,046,000",99.1%,"37,808,442",282 days,0.7726027397260274,"358,344","3,731,554","1,043,265,028"
382,Oh My!,Seventeen,male group,"1,024,556",99.3%,"44,870,461",667 days,1.8273972602739725,"358,344","3,731,554","1,043,265,028"
383,Very Nice,Seventeen,male group,"919,503",98.7%,"74,971,925",1.410 days,3.863013698630137,"358,344","3,731,554","1,043,265,028"
384,Thanks,Seventeen,male group,"907,289",99.3%,"45,255,402",828 days,2.2684931506849315,"358,344","3,731,554","1,043,265,028"
385,Fear,Seventeen,male group,"868,871",99.3%," 30,831,008",240 days,0.6575342465753424,"358,344","3,731,554","1,043,265,028"
386,Getting Closer,Seventeen,male group,"702,571",98.5%,"25,640,838",510 days,1.3972602739726028,"358,344","3,731,554","1,043,265,028"
387,BoomBoom,Seventeen,male group,"616,076",99.1%,"38,359,226",1.256 days,3.441095890410959,"358,344","3,731,554","1,043,265,028"
388,Mansae,Seventeen,male group,"599,640",98.9%,"42,574,409",1.708 days,4.67945205479452,"358,344","3,731,554","1,043,265,028"
389,Call Call Call (jp),Seventeen,male group,"514,520",99.4%,"22,386,340",728 days,1.9945205479452055,"358,344","3,731,554","1,043,265,028"
390,Adore U,Seventeen,male group,"457,429",99.1%,"31,150,344",1.811 days,4.961643835616439,"358,344","3,731,554","1,043,265,028"
391,Fallin' Flower (jp),Seventeen,male group,"449,504",99.7%,"9,721,884",51 days,0.13972602739726028,"358,344","3,731,554","1,043,265,028"
392,Clap(dance),Seventeen,male group,"416,582",99.4%,"20,706,081",916 days,2.5095890410958903,"358,344","3,731,554","1,043,265,028"
393,Highlight(alternate),Seventeen,male group,"384,304",99.6%,"17,722,220",1.229 days,3.367123287671233,"358,344","3,731,554","1,043,265,028"
394,Happy Ending (jp),Seventeen,male group,"376,276",99.7%,"11,972,997",362 days,0.9917808219178083,"358,344","3,731,554","1,043,265,028"
395,Very Nice(dance),Seventeen,male group,"339,107",99.4%,"22,033,885",1.393 days,3.8164383561643835,"358,344","3,731,554","1,043,265,028"
396,BoomBoom,Seventeen,male group,"336,956",98.8%,"16,125,711",1.256 days,3.441095890410959,"358,344","3,731,554","1,043,265,028"
397,Thanks,Seventeen,male group,"315,648",99.3%,"7,134,619",828 days,2.2684931506849315,"358,344","3,731,554","1,043,265,028"
398,Healing,Seventeen,male group,"304,910",99.5%,"11,027,033",1.305 days,3.5753424657534247,"358,344","3,731,554","1,043,265,028"
399,Hangover,PSY+SnoopDogg,male group,"2,095,791",81.3%,"341,178,552",2.166 days,5.934246575342466,"2,095,791",0,"341,178,552"
400,Stay With Me,Punch+CHANYEOL,coed group,"2,085,448",98.8%,"208,641,160",1.258 days,3.4465753424657533,"1,162,668",0,"244,079,047"
401,Dun Dun,Everglow,female group,"2,052,851",96.7%," 116,817,731",100 days,0.273972602739726,"504,742","66,837","364,876,375"
402,Adios,Everglow,female group,"1,757,866",97.5%," 105,671,401",268 days,0.7342465753424657,"504,742","66,837","364,876,375"
403,Bon Bon Chocolat,Everglow,female group,"1,490,064",98.6%,"64,879,884",422 days,1.1561643835616437,"504,742","66,837","364,876,375"
404,Bon Bon Chocolat (Lia Kim x Mina young choreo)(dance),Everglow,female group,"537,976",99.4%,"17,013,685",419 days,1.1479452054794521,"504,742","66,837","364,876,375"
405,Dun Dun(alternate),Everglow,female group,"354,173",98.3%,"10,024,651",93 days,0.2547945205479452,"504,742","66,837","364,876,375"
406,Dun Dun(dance),Everglow,female group,"319,875",98.7%,"7,967,531",96 days,0.26301369863013696,"504,742","66,837","364,876,375"
407,Adios(alternate),Everglow,female group,"294,041",98.6%,"10,799,610",258 days,0.7068493150684931,"504,742","66,837","364,876,375"
408,Energetic,WannaOne,male group,"2,023,954",97.6%,"130,918,615",1.010 days,2.767123287671233,"614,055","3,615,408","435,109,852"
409,Boomerang,WannaOne,male group,"1,292,767",97.4%,"62,566,815",786 days,2.1534246575342464,"614,055","3,615,408","435,109,852"
410,Spring Breeze,WannaOne,male group,"1,117,217",98.9%,"34,869,765",541 days,1.4821917808219178,"614,055","3,615,408","435,109,852"
411,I.P.U.,WannaOne,male group,"868,663",98.0%,"38,336,738",800 days,2.191780821917808,"614,055","3,615,408","435,109,852"
412,Beautiful,WannaOne,male group,"780,731",98.3%,"54,715,737",905 days,2.4794520547945207,"614,055","3,615,408","435,109,852"
413,Light,WannaOne,male group,"772,030",98.1%,"28,111,613",709 days,1.9424657534246574,"614,055","3,615,408","435,109,852"
414,Burn it up,WannaOne,male group,"623,698",98.2%,"33,748,231",1.007 days,2.758904109589041,"614,055","3,615,408","435,109,852"
415,Beautiful(alternate),WannaOne,male group,"481,915",97.8%,"12,945,841",912 days,2.4986301369863013,"614,055","3,615,408","435,109,852"
416,I am the best,2NE1,female group,"1,967,454",96.3%,"258,383,925",3.243 days,8.884931506849314,"301,480","681,461","1,309,728,101"
417,Come Back Home,2NE1,female group,"905,210",97.1%,"86,698,407",2.264 days,6.2027397260273975,"301,480","681,461","1,309,728,101"
418,Goodbye,2NE1,female group,"890,562",98.9%,"26,327,667",1.209 days,3.3123287671232875,"301,480","681,461","1,309,728,101"
419,Falling in Love,2NE1,female group,"560,316",96.7%,"68,804,464",2.502 days,6.854794520547945,"301,480","681,461","1,309,728,101"
420,I love you,2NE1,female group,"534,170",97.1%,"72,230,238",2.868 days,7.857534246575343,"301,480","681,461","1,309,728,101"
421,Lonely,2NE1,female group,"515,112",97.7%,"80,067,692",3.290 days,9.013698630136986,"301,480","681,461","1,309,728,101"
422,Gotta be you,2NE1,female group,"509,074",98.1%,"51,257,538",2.185 days,5.986301369863014,"301,480","681,461","1,309,728,101"
423,Missing You,2NE1,female group,"407,278",97.8%,"40,946,845",2.366 days,6.482191780821918,"301,480","681,461","1,309,728,101"
424,Hate you,2NE1,female group,"297,208",96.7%,"36,436,493",3.220 days,8.821917808219178,"301,480","681,461","1,309,728,101"
425,Go Away,2NE1,female group,"295,104",97.3%,"49,217,026",3.534 days,9.682191780821919,"301,480","681,461","1,309,728,101"
426,Boss,NCTU,male group,"1,960,451",99.0%,"115,425,775",815 days,2.232876712328767,"672,391",0,"376,266,781"
427,The 7th Sense,NCTU,male group,"1,375,654",98.6%,"85,662,626",1.496 days,4.098630136986301,"672,391",0,"376,266,781"
428,Baby Don't Stop,NCTU,male group,"1,336,900",99.3%,"64,275,560",807 days,2.210958904109589,"672,391",0,"376,266,781"
429,Boss(dance),NCTU,male group,"821,329",99.4%,"42,732,933",806 days,2.208219178082192,"672,391",0,"376,266,781"
430,Yestoday,NCTU,male group,"554,590",99.4%,"10,988,191",773 days,2.117808219178082,"672,391",0,"376,266,781"
431,Without you,NCTU,male group,"433,986",98.8%,"18,199,189",1.495 days,4.095890410958904,"672,391",0,"376,266,781"
432,The 7th Sense(dance),NCTU,male group,"380,827",98.9%,"15,252,087",1.494 days,4.093150684931507,"672,391",0,"376,266,781"
433,Coming Home,NCTU,male group,"358,959",99.8%,"3,907,620",152 days,0.41643835616438357,"672,391",0,"376,266,781"
434,Baby Don't Stop(dance),NCTU,male group,"343,264",99.7%,"9,619,071",789 days,2.1616438356164385,"672,391",0,"376,266,781"
435,Miroh,StrayKids,male group,"1,910,318",98.9%,"76,471,097",416 days,1.1397260273972603,"479,271","1,026,466","654,638,916"
436,Hellevator,StrayKids,male group,"1,481,376",99.2%,"60,090,508",950 days,2.6027397260273974,"479,271","1,026,466","654,638,916"
437,My Pace,StrayKids,male group,"1,406,175",98.9%,"78,511,708",646 days,1.7698630136986302,"479,271","1,026,466","654,638,916"
438,Side Effects,StrayKids,male group,"1,146,599",98.6%,"40,043,413",329 days,0.9013698630136986,"479,271","1,026,466","654,638,916"
439,Double Knot,StrayKids,male group,"1,122,073",99.2%,"33,299,651",217 days,0.5945205479452055,"479,271","1,026,466","654,638,916"
440,District 9,StrayKids,male group,"987,140",98.8%,"43,416,409",779 days,2.1342465753424658,"479,271","1,026,466","654,638,916"
441,Get Cool,StrayKids,male group,"902,283",99.4%,"34,333,474",546 days,1.4958904109589042,"479,271","1,026,466","654,638,916"
442,Levanter,StrayKids,male group,"847,949",99.4%," 27,378,207",156 days,0.4273972602739726,"479,271","1,026,466","654,638,916"
443,I am YOU,StrayKids,male group,"828,256",99.3%,"34,013,625",569 days,1.558904109589041,"479,271","1,026,466","654,638,916"
444,Astronaut,StrayKids,male group,"784,112",99.4%,"9,950,690",182 days,0.4986301369863014,"479,271","1,026,466","654,638,916"
445,Mix Tape: On Track,StrayKids,male group,"694,141",99.5%,"6,079,022",49 days,0.13424657534246576,"479,271","1,026,466","654,638,916"
446,Voices,StrayKids,male group,"631,305",99.7%,"20,697,403",637 days,1.7452054794520548,"479,271","1,026,466","654,638,916"
447,Awkward Silence,StrayKids,male group,"585,566",99.5%,"17,876,787",625 days,1.7123287671232876,"479,271","1,026,466","654,638,916"
448,Victory Song,StrayKids,male group,"553,603",99.7%,"14,082,027",401 days,1.0986301369863014,"479,271","1,026,466","654,638,916"
449,Grrr,StrayKids,male group,"506,125",99.1%,"12,870,574",857 days,2.347945205479452,"479,271","1,026,466","654,638,916"
450,Mixtape: Gone days,StrayKids,male group,"504,410",99.5%,"5,724,878",139 days,0.38082191780821917,"479,271","1,026,466","654,638,916"
451,Grow Up,StrayKids,male group,"490,983",99.5%,"9,438,305",775 days,2.1232876712328768,"479,271","1,026,466","654,638,916"
452,Young Wing,StrayKids,male group,"458,268",99.5%,"13,840,586",849 days,2.326027397260274,"479,271","1,026,466","654,638,916"
453,Double knot (en),StrayKids,male group,"458,145",99.5%,"4,104,546",110 days,0.3013698630136986,"479,271","1,026,466","654,638,916"
454,N/S,StrayKids,male group,"428,638",99.8%,"7,447,947",539 days,1.4767123287671233,"479,271","1,026,466","654,638,916"
455,TMT,StrayKids,male group,"405,295",99.8%,"5,523,195",317 days,0.8684931506849315,"479,271","1,026,466","654,638,916"
456,Miroh(dance),StrayKids,male group,"389,016",99.8%,"5,001,411",402 days,1.1013698630136985,"479,271","1,026,466","654,638,916"
457,Miroh(dance),StrayKids,male group,"383,434",99.8%,"7,024,049",411 days,1.126027397260274,"479,271","1,026,466","654,638,916"
458,Chronosaurus,StrayKids,male group,"350,663",99.8%,"7,387,680",394 days,1.0794520547945206,"479,271","1,026,466","654,638,916"
459,M.I.A.,StrayKids,male group,"342,952",99.8%,"9,749,043",633 days,1.7342465753424658,"479,271","1,026,466","654,638,916"
460,Boxer,StrayKids,male group,"311,637",99.8%,"4,428,581",404 days,1.106849315068493,"479,271","1,026,466","654,638,916"
461,Mirror,StrayKids,male group,"307,882",99.5%,"6,797,162",752 days,2.0602739726027397,"479,271","1,026,466","654,638,916"
462,Side Effects(alternate),StrayKids,male group,"298,196",99.7%,"4,315,643",325 days,0.8904109589041096,"479,271","1,026,466","654,638,916"
463,Boom,NCTDREAM,male group,"1,824,469",98.8%,"66,548,884",293 days,0.8027397260273973,"433,529","1,048,154","353,880,465"
464,Ridin',NCTDREAM,male group,"1,537,969",98.6%,"21,497,471",14 days,0.038356164383561646,"433,529","1,048,154","353,880,465"
465,We Go Up,NCTDREAM,male group,"1,275,677",99.4%,"48,058,930",622 days,1.704109589041096,"433,529","1,048,154","353,880,465"
466,Don't Need Your Love (feat. HRVY),NCTDREAM,male group,"1,046,602",98.9%,"20,929,718",342 days,0.936986301369863,"433,529","1,048,154","353,880,465"
467,Chewing gum,NCTDREAM,male group,"984,016",97.9%,"46,584,015",1.358 days,3.7205479452054795,"433,529","1,048,154","353,880,465"
468,Go,NCTDREAM,male group,"920,811",99.3%,"31,921,408",801 days,2.1945205479452055,"433,529","1,048,154","353,880,465"
469,We young,NCTDREAM,male group,"571,712",98.9%,"17,081,898",1.000 days,2.73972602739726,"433,529","1,048,154","353,880,465"
470,My First and Last,NCTDREAM,male group,"468,891",99.0%,"15,555,724",1.190 days,3.26027397260274,"433,529","1,048,154","353,880,465"
471,Boom(dance),NCTDREAM,male group,"425,006",99.6%,"11,099,297",263 days,0.7205479452054795,"433,529","1,048,154","353,880,465"
472,We Go Up(dance),NCTDREAM,male group,"375,327",99.7%,"9,496,849",613 days,1.6794520547945206,"433,529","1,048,154","353,880,465"
473,Candle Light,NCTDREAM,male group,"365,862",99.8%,"5,572,752",503 days,1.378082191780822,"433,529","1,048,154","353,880,465"
474,Boom(dance),NCTDREAM,male group,"340,186",99.8%,"5,352,051",282 days,0.7726027397260274,"433,529","1,048,154","353,880,465"
475,We go up(dance),NCTDREAM,male group,"338,074",99.7%,"5,912,205",559 days,1.5315068493150685,"433,529","1,048,154","353,880,465"
476,Boom(alternate),NCTDREAM,male group,"303,676",99.8%,"2,949,506",278 days,0.7616438356164383,"433,529","1,048,154","353,880,465"
477,Chewing gum(alternate),NCTDREAM,male group,"298,633",99.3%,"6,813,825",1.314 days,3.6,"433,529","1,048,154","353,880,465"
478,I,Taeyeon,female soloist,"1,808,484",97.2%,"194,559,747",1.681 days,4.605479452054794,"369,433","844,962","675,246,794"
479,Into the unknown (Frozen 2),Taeyeon,female soloist,"889,406",98.8%,"22,781,102",180 days,0.4931506849315068,"369,433","844,962","675,246,794"
480,Four Seasons,Taeyeon,female soloist,"776,936",98.8%,"30,334,656",418 days,1.1452054794520548,"369,433","844,962","675,246,794"
481,Fine,Taeyeon,female soloist,"772,543",98.2%,"49,192,497",1.171 days,3.208219178082192,"369,433","844,962","675,246,794"
482,Spark,Taeyeon,female soloist,"694,660",98.9%,"23,224,837",198 days,0.5424657534246575,"369,433","844,962","675,246,794"
483,Why,Taeyeon,female soloist,"650,128",96.8%,"64,899,680",1.416 days,3.8794520547945206,"369,433","844,962","675,246,794"
484,Happy,Taeyeon,female soloist,"629,879",99.0%,"5,868,911",9 days,0.024657534246575342,"369,433","844,962","675,246,794"
485,11:11,Taeyeon,female soloist,"552,274",97.3%,"59,495,283",1.289 days,3.5315068493150683,"369,433","844,962","675,246,794"
486,Rain,Taeyeon,female soloist,"454,220",96.7%,"51,389,260",1.562 days,4.279452054794521,"369,433","844,962","675,246,794"
487,I Got Love,Taeyeon,female soloist,"453,999",95.2%,"21,366,073",1.181 days,3.2356164383561645,"369,433","844,962","675,246,794"
488,Something New,Taeyeon,female soloist,"446,906",97.9%,"12,015,308",695 days,1.904109589041096,"369,433","844,962","675,246,794"
489,Why(alternate),Taeyeon,female soloist,"419,322",97.3%,"31,193,751",1.409 days,3.8602739726027395,"369,433","844,962","675,246,794"
490,Dear me,Taeyeon,female soloist,"311,085",99.3%,"4,730,736",119 days,0.32602739726027397,"369,433","844,962","675,246,794"
491,Voice (jp),Taeyeon,female soloist,"298,774",99.1%,"6,077,414",369 days,1.010958904109589,"369,433","844,962","675,246,794"
492,"Eyes, Nose, Lips",TAEYANG,male soloist,"1,692,659",98.4%,"173,785,450",2.172 days,5.950684931506849,"292,435","274,809","631,621,668"
493,Ringa Linga,TAEYANG,male soloist,"1,024,695",98.4%,"117,668,865",2.377 days,6.512328767123288,"292,435","274,809","631,621,668"
494,Ringa Linga (Performance)(dance),TAEYANG,male soloist,"692,039",97.9%,"82,923,311",2.379 days,6.517808219178082,"292,435","274,809","631,621,668"
495,Wedding Dress,TAEYANG,male soloist,"386,703",98.4%,"61,957,860",3.832 days,10.498630136986302,"292,435","274,809","631,621,668"
496,Darling,TAEYANG,male soloist,"372,742",98.9%,"11,918,960",1.001 days,2.7424657534246575,"292,435","274,809","631,621,668"
497,Wake me up,TAEYANG,male soloist,"371,614",99.3%,"10,721,546",1.001 days,2.7424657534246575,"292,435","274,809","631,621,668"
498,Gashina,Sunmi,female soloist,"1,684,565",98.2%,"125,324,401",996 days,2.728767123287671,"511,876","18,803","334,833,130"
499,Siren,Sunmi,female soloist,"924,072",98.4%,"51,396,594",617 days,1.6904109589041096,"511,876","18,803","334,833,130"
500,Noir,Sunmi,female soloist,"820,568",99.0%,"22,403,582",436 days,1.1945205479452055,"511,876","18,803","334,833,130"
501,Heroine,Sunmi,female soloist,"783,856",97.9%,"60,480,879",846 days,2.317808219178082,"511,876","18,803","334,833,130"
502,Lalalay,Sunmi,female soloist,"493,895",98.4%,"7,845,879",260 days,0.7123287671232876,"511,876","18,803","334,833,130"
503,Lalalay,Sunmi,female soloist,"490,105",97.9%,"20,013,700",260 days,0.7123287671232876,"511,876","18,803","334,833,130"
